"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","8","state:Colorado","on","id,city,DOB,longitude,sex,state,latitude,name","17415","json","17415","0","2142","Aurora","1998-09-08T22:11:38Z","-105","M","Colorado","40","YOU,LASHANA L"
"","","","","","","","","","","2144","Commerce City","1993-10-08T22:11:38Z","-105","M","Colorado","40","ALLAMANI,ILAHN G"
"","","","","","","","","","","2145","Dupont","1996-06-08T22:11:38Z","-105","F","Colorado","40","PRADO ROJAS,YI BIN D"
"","","","","","","","","","","2146","Westminster","1994-12-08T22:11:38Z","-105","M","Colorado","40","WEIKLE,BLARN "
"","","","","","","","","","","2147","Westminster","1999-03-08T22:11:38Z","-105","F","Colorado","40","SKARL,MANUELLE A"
"","","","","","","","","","","2151","Aurora","1994-07-08T22:11:38Z","-105","F","Colorado","40","DEBAL,LIZETH C"
"","","","","","","","","","","2152","Aurora","1994-08-08T22:11:38Z","-105","M","Colorado","40","NASSI,ROBIN H"
"","","","","","","","","","","2153","Aurora","1994-02-08T22:11:38Z","-105","F","Colorado","40","CLARK-BINEN,JASLEEN "
"","","","","","","","","","","2154","Bennett","1999-06-08T22:11:38Z","-104","M","Colorado","40","MANTIS,SONI W"
"","","","","","","","","","","2157","Denver","1998-03-08T22:11:38Z","-105","F","Colorado","40","DAGENET,MALAENA M"
"","","","","","","","","","","2161","Thornton","1992-12-08T22:11:38Z","-105","F","Colorado","40","GRIESBACH,SHARNNELL L"
"","","","","","","","","","","2164","Brighton","1995-01-08T22:11:38Z","-105","M","Colorado","40","CUSSINS,LATOYRIE K"
"","","","","","","","","","","2166","Eastlake","1998-01-08T22:11:38Z","-105","M","Colorado","40","STEINMAUS,DIMPLE J"
"","","","","","","","","","","2167","Henderson","1994-07-08T22:11:38Z","-105","F","Colorado","40","COMPTON,TAUTASI MICHAEL"
"","","","","","","","","","","2168","Alamosa","1994-02-08T22:11:38Z","-106","M","Colorado","37","SANDAS,ADISA M"
"","","","","","","","","","","2169","Alamosa","1995-04-08T22:11:38Z","-106","F","Colorado","37","QUINER,RASTINA M"
"","","","","","","","","","","2171","Mosca","1994-02-08T22:11:38Z","-106","F","Colorado","38","KAYA,RUMALDO E"
"","","","","","","","","","","2172","Aurora","1996-10-08T22:11:38Z","-105","M","Colorado","40","BIGBEE,NEIDE A"
"","","","","","","","","","","2174","Aurora","1997-04-08T22:11:38Z","-105","M","Colorado","40","ZARRABI,KEYLA R"
"","","","","","","","","","","2175","Aurora","1999-02-08T22:11:38Z","-105","F","Colorado","40","ACHENBACH,YIT M"
"","","","","","","","","","","2178","Aurora","1999-11-08T22:11:38Z","-105","M","Colorado","40","KUSSANOV,GIANMARCO D"
"","","","","","","","","","","2180","Aurora","1994-08-08T22:11:38Z","-104","M","Colorado","40","MAROTZ,NICHET L"
"","","","","","","","","","","2181","Aurora","1993-07-08T22:11:38Z","-104","F","Colorado","40","PAOLOZZI,TANUMALEU R"
"","","","","","","","","","","2182","Aurora","1997-12-08T22:11:38Z","-104","M","Colorado","40","MCENULTY,MEEKAYLA A"
"","","","","","","","","","","2187","Englewood","1993-07-08T22:11:38Z","-105","F","Colorado","40","PROCASKEY,ELTER J"
"","","","","","","","","","","2188","Englewood","1998-07-08T22:11:38Z","-105","M","Colorado","40","LEGENDRE,MORGAN "
"","","","","","","","","","","2189","Englewood","1998-02-08T22:11:38Z","-105","F","Colorado","40","WALASHEK,TYKA "
"","","","","","","","","","","2191","Littleton","1998-09-08T22:11:38Z","-105","F","Colorado","40","WINJE,KORBEN ALFONSO"
"","","","","","","","","","","2192","Littleton","1993-09-08T22:11:38Z","-105","M","Colorado","40","SHIMOTA,PANLASIGUI W"
"","","","","","","","","","","2193","Englewood","1995-04-08T22:11:38Z","-105","F","Colorado","40","MORRISON CANTON,KARLY A"
"","","","","","","","","","","2194","Englewood","1999-11-08T22:11:38Z","-105","M","Colorado","40","RAMIN,CAYLAH S"
