"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","6","state:Connecticut","on","id,city,DOB,longitude,sex,state,latitude,name","13729","json","13729","0","997743","Botsford","1946-05-08T22:11:38Z","-73","F","Connecticut","41","CUMBELICH,FAREH T"
"","","","","","","","","","","997744","Hawleyville","1947-07-08T22:11:38Z","-73","M","Connecticut","41","OSBURN,SEANDY N"
"","","","","","","","","","","997745","Monroe","1949-06-08T22:11:38Z","-73","F","Connecticut","41","SAXBY,AHSIYAN N"
"","","","","","","","","","","997747","Sandy Hook","1947-08-08T22:11:38Z","-73","F","Connecticut","41","MALAVEY,HUI-CI E"
"","","","","","","","","","","997748","Shelton","1956-10-08T22:11:38Z","-73","M","Connecticut","41","TULIN,NATILIE M"
"","","","","","","","","","","997749","Stevenson","1950-09-08T22:11:38Z","-73","F","Connecticut","41","DIPP,SHAWBENEE "
"","","","","","","","","","","997751","Bridgeport","1949-03-08T22:11:38Z","-73","F","Connecticut","41","DOMNICK,JENNY V"
"","","","","","","","","","","997752","Bridgeport","1952-06-08T22:11:38Z","-73","M","Connecticut","41","RICHTER,GHERYLL "
"","","","","","","","","","","997753","Bridgeport","1950-07-08T22:11:38Z","-73","F","Connecticut","41","BARTHOLOMA,TRACY LI R"
"","","","","","","","","","","997755","Bridgeport","1950-05-08T22:11:38Z","-73","F","Connecticut","41","MOOGK,NADJA "
"","","","","","","","","","","997756","Bridgeport","1939-11-08T22:11:38Z","-73","M","Connecticut","41","SEUFERLING,HANNAGRACE S"
"","","","","","","","","","","997757","Bridgeport","1950-06-08T22:11:38Z","-73","F","Connecticut","41","RASHIDI,KEEGAN E.K."
"","","","","","","","","","","997758","Trumbull","1938-03-08T22:11:38Z","-73","M","Connecticut","41","COETSEE,KADIN P"
"","","","","","","","","","","997759","Easton","1952-05-08T22:11:38Z","-73","F","Connecticut","41","LICHTENBERGER,JONSIRI J"
"","","","","","","","","","","997760","Stratford","1954-07-08T22:11:38Z","-73","M","Connecticut","41","SAYSON,EVELTN R"
"","","","","","","","","","","997762","Bridgeport","1955-06-08T22:11:38Z","-73","M","Connecticut","41","QUASHNICK JR,GAYE C"
"","","","","","","","","","","997763","Bridgeport","1938-05-08T22:11:38Z","-73","F","Connecticut","41","ERDY,XUAN-DI M"
"","","","","","","","","","","997765","Bethel","1954-12-08T22:11:38Z","-73","F","Connecticut","41","BRICARELLI,LOLENI J"
"","","","","","","","","","","997766","Brookfield","1943-11-08T22:11:38Z","-73","M","Connecticut","41","GRANBERT,BRITENI "
"","","","","","","","","","","997767","Cos Cob","1955-10-08T22:11:38Z","-74","F","Connecticut","41","SCALANT,ARCHANA A"
"","","","","","","","","","","997770","New Fairfield","1956-04-08T22:11:38Z","-73","M","Connecticut","41","BORUK,SARADANNE R"
"","","","","","","","","","","997771","Danbury","1954-05-08T22:11:38Z","-73","F","Connecticut","41","BRAMBLET,MANPREET R"
"","","","","","","","","","","997772","Danbury","1956-06-08T22:11:38Z","-73","M","Connecticut","41","ZAMBRZYCKA,BRIGENA "
"","","","","","","","","","","997773","Danbury","1939-02-08T22:11:38Z","-73","F","Connecticut","41","PISTORIA,KEONE A"
"","","","","","","","","","","997774","Danbury","1944-06-08T22:11:38Z","-73","M","Connecticut","41","SAVOY ONEILL,ESERA W"
"","","","","","","","","","","997775","Darien","1953-07-08T22:11:38Z","-73","F","Connecticut","41","QUISTGAARD,MELYNNA A"
"","","","","","","","","","","997777","Fairfield","1952-07-08T22:11:38Z","-73","F","Connecticut","41","SCHIANO,LORELY R"
"","","","","","","","","","","997779","Georgetown","1948-03-08T22:11:38Z","-73","F","Connecticut","41","MERGLER,THAKERDEEP L"
"","","","","","","","","","","997781","Greenwich","1952-07-08T22:11:38Z","-74","F","Connecticut","41","LEOTTA,MJ "
"","","","","","","","","","","997783","Greens Farms","1956-01-08T22:11:38Z","-73","F","Connecticut","41","DAVILLA,PEGGY D"
"","","","","","","","","","","997784","New Canaan","1944-05-08T22:11:38Z","-73","M","Connecticut","41","ARGENTI,SHOUR R"
"","","","","","","","","","","997785","Norwalk","1941-02-08T22:11:38Z","-73","F","Connecticut","41","BETTES,CAIWEN "
"","","","","","","","","","","997786","Norwalk","1948-04-08T22:11:38Z","-73","M","Connecticut","41","SAWYERS,TAHJEE "
"","","","","","","","","","","997787","Norwalk","1954-01-08T22:11:38Z","-73","F","Connecticut","41","SCHOOF,ALEETA C"
"","","","","","","","","","","997790","Norwalk","1943-05-08T22:11:38Z","-73","M","Connecticut","41","PENA, SHANNAN,GINA-MARIE M"
"","","","","","","","","","","997791","Norwalk","1953-07-08T22:11:38Z","-73","F","Connecticut","41","OHLS,GUELSY A"
"","","","","","","","","","","997792","Norwalk","1944-12-08T22:11:38Z","-73","M","Connecticut","41","HECKARD-SCOTT,JR,RUDY L"
"","","","","","","","","","","997793","Norwalk","1947-10-08T22:11:38Z","-73","F","Connecticut","41","SANOTSKY,ARIADNE P"
"","","","","","","","","","","997794","Norwalk","1950-01-08T22:11:38Z","-73","M","Connecticut","41","BRADAC,SAN JUANITA "
"","","","","","","","","","","997795","Old Greenwich","1942-07-08T22:11:38Z","-74","F","Connecticut","41","MC DOW,KATHEY "
"","","","","","","","","","","997796","Redding Center","1940-02-08T22:11:38Z","-73","M","Connecticut","41","NEMECEK,DESIRAI L"
"","","","","","","","","","","997797","Redding Ridge","1951-03-08T22:11:38Z","-73","F","Connecticut","41","HEGLE,RESA "
"","","","","","","","","","","997799","Riverside","1940-03-08T22:11:38Z","-74","F","Connecticut","41","AIZENMAN,CHARLENDA "
"","","","","","","","","","","997801","Westport","1943-08-08T22:11:38Z","-73","F","Connecticut","41","GIBLIN JR,MORGAIN "
"","","","","","","","","","","997803","Weston","1943-07-08T22:11:38Z","-73","F","Connecticut","41","BAILEY-CARRIER,VOICY H"
"","","","","","","","","","","997804","Westport","1942-11-08T22:11:38Z","-73","M","Connecticut","41","HAMIDI,SHAKEEB "
"","","","","","","","","","","997806","Southport","1950-04-08T22:11:38Z","-73","M","Connecticut","41","MCANALLY,JOIE L"
"","","","","","","","","","","997809","Stamford","1940-04-08T22:11:38Z","-74","F","Connecticut","41","TVARIAN,ZELDA L"
"","","","","","","","","","","997810","Stamford","1946-09-08T22:11:38Z","-74","M","Connecticut","41","MALAYAN,RIPPEY M"
"","","","","","","","","","","997811","Stamford","1940-07-08T22:11:38Z","-74","F","Connecticut","41","NUNEZ,WEEKLY RATE :40.00, MONTHLY RATE : 173.33 J"
"","","","","","","","","","","997813","Stamford","1942-10-08T22:11:38Z","-74","F","Connecticut","41","DRUDE,AVANI K"
"","","","","","","","","","","997814","Stamford","1938-11-08T22:11:38Z","-74","M","Connecticut","41","GUARDIA,BREONA F"
"","","","","","","","","","","997815","Stamford","1938-05-08T22:11:38Z","-74","F","Connecticut","41","LEMESSURIER,DJOINA "
"","","","","","","","","","","997816","Stamford","1948-08-08T22:11:38Z","-74","M","Connecticut","41","JONATHAN,MARA G"
