"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","1","state:Delaware","on","id,city,DOB,longitude,sex,state,latitude,name","3072","json","3072","0","990864","Dover","1948-04-08T22:11:38Z","-75","M","Delaware","39","COBOS,FARIN "
"","","","","","","","","","","990865","Dover Afb","1956-07-08T22:11:38Z","-75","F","Delaware","39","DALUISEE,XOLLI W"
"","","","","","","","","","","990867","Dover","1953-03-08T22:11:38Z","-76","F","Delaware","39","DEPORTO,CHELSEA "
"","","","","","","","","","","990868","Dover","1949-12-08T22:11:38Z","-76","M","Delaware","39","HAMMONDS,ZEMA D"
"","","","","","","","","","","990869","Dover","1950-12-08T22:11:38Z","-76","F","Delaware","39","ALBANESI,JIN XIANG L"
"","","","","","","","","","","990871","Cheswold","1951-01-08T22:11:38Z","-76","F","Delaware","39","MUSQUIZ,BIRGIT A"
"","","","","","","","","","","990872","Clayton","1940-03-08T22:11:38Z","-76","M","Delaware","39","HRITZ,LIONEL "
"","","","","","","","","","","990874","Frederica","1950-08-08T22:11:38Z","-75","M","Delaware","39","STARBARD,RHIANNON C"
"","","","","","","","","","","990876","Hartly","1954-09-08T22:11:38Z","-76","M","Delaware","39","VARGA,ERIK K"
"","","","","","","","","","","990877","Houston","1943-07-08T22:11:38Z","-76","F","Delaware","39","AVALOS JR,KORNELIS "
"","","","","","","","","","","990878","Kenton","1950-02-08T22:11:38Z","-76","M","Delaware","39","DIAZ RIOS,TREBOR L"
"","","","","","","","","","","990880","Magnolia","1956-04-08T22:11:38Z","-76","M","Delaware","39","LUOTO,ALIA G"
"","","","","","","","","","","990882","Smyrna","1951-02-08T22:11:38Z","-76","M","Delaware","39","RUSHMEYER JR,CHAREECE "
"","","","","","","","","","","990883","Viola","1955-07-08T22:11:38Z","-76","F","Delaware","39","POLI JR.,SAULO J"
"","","","","","","","","","","990884","Woodside","1939-08-08T22:11:38Z","-76","M","Delaware","39","KEMNITZ,TAYLR KARI J"
"","","","","","","","","","","990885","Bear","1956-04-08T22:11:38Z","-76","F","Delaware","40","BOSIA,ANDROMADA E"
"","","","","","","","","","","990887","Claymont","1955-10-08T22:11:38Z","-75","F","Delaware","40","GWYNNE,HUYLER R"
"","","","","","","","","","","990888","Delaware City","1946-06-08T22:11:38Z","-76","M","Delaware","40","TJADEN,MADLYN R"
"","","","","","","","","","","990889","Hockessin","1941-11-08T22:11:38Z","-76","F","Delaware","40","LAWLOR,YAYE L"
"","","","","","","","","","","990890","Kirkwood","1954-01-08T22:11:38Z","-76","M","Delaware","40","VAUGH,CANETIA "
"","","","","","","","","","","990894","Newark","1954-01-08T22:11:38Z","-76","M","Delaware","40","SCOVILL, BRIAN,ALYANA L"
"","","","","","","","","","","990896","Newark","1941-07-08T22:11:38Z","-76","M","Delaware","40","FRUZZA II RAND,ERZSEBET R"
"","","","","","","","","","","990898","Newark","1952-01-08T22:11:38Z","-76","M","Delaware","40","JAFFREY,NEELEY A"
"","","","","","","","","","","990900","Newark","1945-05-08T22:11:38Z","-76","M","Delaware","40","ACUPAN,LECOSHA L"
"","","","","","","","","","","990902","New Castle","1940-06-08T22:11:38Z","-76","M","Delaware","40","REGINA,MICHAEL  JR "
"","","","","","","","","","","990904","New Castle","1948-10-08T22:11:38Z","-76","M","Delaware","40","THEBODEAU,SEK FU A"
"","","","","","","","","","","990905","Odessa","1941-03-08T22:11:38Z","-76","F","Delaware","39","FOULON,MCKYLA "
"","","","","","","","","","","990906","Port Penn","1949-12-08T22:11:38Z","-76","M","Delaware","40","DEMELO,MEE S"
"","","","","","","","","","","990907","Rockland","1944-11-08T22:11:38Z","-76","F","Delaware","40","DE CUSATIS,DEMA "
"","","","","","","","","","","990908","Saint Georges","1939-10-08T22:11:38Z","-76","M","Delaware","40","SILLYMAN,NIMEH E"
"","","","","","","","","","","990909","Townsend","1943-06-08T22:11:38Z","-76","F","Delaware","39","LYANG,CHRISTOPHOR "
"","","","","","","","","","","990911","Yorklyn","1942-09-08T22:11:38Z","-76","F","Delaware","40","JOSON,FETONGI N"
"","","","","","","","","","","990913","Wilmington","1938-11-08T22:11:38Z","-76","F","Delaware","40","WHITAKER,CARIE "
"","","","","","","","","","","990914","Wilmington","1954-09-08T22:11:38Z","-76","M","Delaware","40","PASVANTIS,SHACOLA "
"","","","","","","","","","","990915","Wilmington","1946-05-08T22:11:38Z","-76","F","Delaware","40","DENHARD,JULETTA J"
"","","","","","","","","","","990917","Wilmington","1945-10-08T22:11:38Z","-76","F","Delaware","40","SKENDLE,LEE ANN "
"","","","","","","","","","","990919","Wilmington","1954-02-08T22:11:38Z","-76","F","Delaware","40","THORNE,ELIAZAR "
"","","","","","","","","","","990922","Wilmington","1946-11-08T22:11:38Z","-76","M","Delaware","40","CAKE,CASSONDRA "
"","","","","","","","","","","990923","Wilmington","1948-12-08T22:11:38Z","-76","F","Delaware","40","POSH,NATHANEIL "
"","","","","","","","","","","990924","Wilmington","1951-11-08T22:11:38Z","-76","M","Delaware","40","ROORDA,HARLEN "
"","","","","","","","","","","990925","Wilmington","1952-10-08T22:11:38Z","-76","F","Delaware","40","PASTOR JR,CONCHETTA S"
"","","","","","","","","","","990926","Wilmington","1951-08-08T22:11:38Z","-76","M","Delaware","40","SUANI,ANNIE MARIE E"
"","","","","","","","","","","990927","Wilmington","1937-12-08T22:11:38Z","-76","F","Delaware","40","LORENZZETTI,TENESA A"
"","","","","","","","","","","990929","Wilmington","1952-04-08T22:11:38Z","-76","F","Delaware","40","GEIDT,JAILA "
"","","","","","","","","","","990930","Wilmington","1953-02-08T22:11:38Z","-76","M","Delaware","40","FERRERE,LATIFA R"
"","","","","","","","","","","990931","Wilmington","1951-06-08T22:11:38Z","-76","F","Delaware","40","NEWLON,DELOROUS "
"","","","","","","","","","","990932","Wilmington","1947-10-08T22:11:38Z","-76","M","Delaware","40","GAYSKI,JOELYNE L"
"","","","","","","","","","","990935","Wilmington","1954-06-08T22:11:38Z","-76","F","Delaware","40","CHIBANA,NIC H"
"","","","","","","","","","","990936","Wilmington","1948-09-08T22:11:38Z","-76","M","Delaware","40","HOFFINE,YEN THI E"
"","","","","","","","","","","990937","Bethany Beach","1941-08-08T22:11:38Z","-75","F","Delaware","39","DUARTE III,LING "
