"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","4","state:Idaho","on","id,city,DOB,longitude,sex,state,latitude,name","8640","json","8640","0","5392","Meridian","1993-11-08T22:11:38Z","-116","M","Idaho","44","LILIAN,ELLEEN A"
"","","","","","","","","","","5393","Star","1998-05-08T22:11:38Z","-116","F","Idaho","44","AHLEIM,KATELYNN L"
"","","","","","","","","","","5394","Meridian","1994-07-08T22:11:38Z","-116","M","Idaho","44","REYMAN,EMILEY "
"","","","","","","","","","","5395","Boise","1996-08-08T22:11:38Z","-116","F","Idaho","44","RAMIREZ VOLK,ELYSHIA J"
"","","","","","","","","","","5396","Boise","1994-12-08T22:11:38Z","-116","M","Idaho","44","ATALIG,SHALENIA "
"","","","","","","","","","","5399","Boise","1999-09-08T22:11:38Z","-116","F","Idaho","44","MEDELLIN,KAMEREN H"
"","","","","","","","","","","5400","Boise","1995-09-08T22:11:38Z","-116","M","Idaho","44","SCHAIRER,CHUNPI R"
"","","","","","","","","","","5401","Boise","1998-01-08T22:11:38Z","-116","F","Idaho","44","KEY CONRAD,AMY SIU LAN H"
"","","","","","","","","","","5402","Boise","1998-09-08T22:11:38Z","-116","M","Idaho","43","DUERR,CHASTIE M"
"","","","","","","","","","","5404","Boise","1994-09-08T22:11:38Z","-116","M","Idaho","43","NEVAREZ-GALLI,JERUSALEN M"
"","","","","","","","","","","5405","Boise","1997-02-08T22:11:38Z","-116","F","Idaho","44","KOMZELMAN,MARKE "
"","","","","","","","","","","5407","Garden City","1997-11-08T22:11:38Z","-116","F","Idaho","44","LA COMB,NUAN T"
"","","","","","","","","","","5409","Boise","1999-04-08T22:11:38Z","-116","F","Idaho","44","BURCKART,LEALA "
"","","","","","","","","","","5410","Boise","1997-03-08T22:11:38Z","-116","M","Idaho","43","TORBETT,NHUNG "
"","","","","","","","","","","5413","Boise","1999-06-08T22:11:38Z","-116","F","Idaho","43","FILBRANDT,JOELLEEN M"
"","","","","","","","","","","5414","Boise","1994-10-08T22:11:38Z","-116","M","Idaho","44","MOJICA ZAVALA,CAROLD C"
"","","","","","","","","","","5415","Boise","1993-07-08T22:11:38Z","-116","F","Idaho","43","LOCEY,DASAI "
"","","","","","","","","","","5416","Boise","1996-10-08T22:11:38Z","-116","M","Idaho","43","ANSEL,DARSHA W"
"","","","","","","","","","","5417","Boise","1998-10-08T22:11:38Z","-116","F","Idaho","44","EDMISON,ANTIOINETTE R"
"","","","","","","","","","","5419","Boise","1994-02-08T22:11:38Z","-116","F","Idaho","43","BREUNIG,LE'ANA "
"","","","","","","","","","","5420","Boise","1993-10-08T22:11:38Z","-116","M","Idaho","43","BOSTJANCIC,ELORNE "
"","","","","","","","","","","5421","Boise","1995-07-08T22:11:38Z","-116","F","Idaho","44","BOAZE,ANNARACHIEL K"
"","","","","","","","","","","5422","Boise","1993-04-08T22:11:38Z","-116","M","Idaho","43","STATESCU,CAROLYN  L"
"","","","","","","","","","","5423","Boise","1996-12-08T22:11:38Z","-116","F","Idaho","44","EMAM,SAREENA A"
"","","","","","","","","","","5424","Council","1998-03-08T22:11:38Z","-116","M","Idaho","45","LONGORIO,MICHOLE "
"","","","","","","","","","","5425","Indian Valley","1996-05-08T22:11:38Z","-116","F","Idaho","45","MITCHELL, HOLL,JEDA L"
"","","","","","","","","","","5426","Mesa","1998-09-08T22:11:38Z","-116","M","Idaho","45","FOLENA,AZNECIV C"
"","","","","","","","","","","5427","New Meadows","1997-06-08T22:11:38Z","-116","F","Idaho","45","GILLASPEY,IMA L"
"","","","","","","","","","","5428","Pocatello","1994-01-08T22:11:38Z","-112","M","Idaho","43","DIERAVER,TERRYE J"
"","","","","","","","","","","5431","Pocatello","1997-11-08T22:11:38Z","-112","F","Idaho","43","BIDDINGTON,GULIANA J"
"","","","","","","","","","","5432","Pocatello","1998-06-08T22:11:38Z","-112","M","Idaho","43","LEGORETE,ELIZETTE T"
"","","","","","","","","","","5433","Pocatello","1995-10-08T22:11:38Z","-112","F","Idaho","43","ZDAREK,NAKIMA J"
"","","","","","","","","","","5434","Arimo","1997-06-08T22:11:38Z","-112","M","Idaho","43","UDE,JACINO "
"","","","","","","","","","","5435","Downey","1995-03-08T22:11:38Z","-112","F","Idaho","42","MONFERDINI,HOPE ANGELIE A"
"","","","","","","","","","","5436","Inkom","1993-09-08T22:11:38Z","-112","M","Idaho","43","REYES SR,KINCI M"
"","","","","","","","","","","5440","Bern","1995-01-08T22:11:38Z","-111","M","Idaho","42","ZUMBA,ALINA M"
"","","","","","","","","","","5441","Bloomington","1996-05-08T22:11:38Z","-111","F","Idaho","42","BLECHMAN,AN-NISHA "
"","","","","","","","","","","5444","Georgetown","1996-03-08T22:11:38Z","-111","M","Idaho","42","GALAZIN,NORMAJEAN A"
"","","","","","","","","","","5445","Montpelier","1997-10-08T22:11:38Z","-111","F","Idaho","42","PIAZZO,EMELY GISSEL C"
"","","","","","","","","","","5446","Paris","1997-12-08T22:11:38Z","-111","M","Idaho","42","SANDILANDS,REHNU E"
"","","","","","","","","","","5447","Saint Charles","1995-10-08T22:11:38Z","-111","F","Idaho","42","GUANTONE,JOEY "
"","","","","","","","","","","5448","Fish Haven","1996-12-08T22:11:38Z","-111","M","Idaho","42","COFFLAND,FRANZ SERENITY J"
"","","","","","","","","","","5451","Plummer","1996-07-08T22:11:38Z","-117","F","Idaho","47","STRATT,PERA L"
"","","","","","","","","","","5452","Saint Maries","1995-07-08T22:11:38Z","-117","M","Idaho","47","ERCOBER,KESWICK C"
"","","","","","","","","","","5453","Santa","1993-07-08T22:11:38Z","-116","F","Idaho","47","VILIAMU,ARNYGRACE P"
"","","","","","","","","","","5454","Tensed","1998-10-08T22:11:38Z","-117","M","Idaho","47","KOKICHI,SILVINA L"
"","","","","","","","","","","5455","Fort Hall","1998-05-08T22:11:38Z","-112","F","Idaho","43","FOUMAI,SHUKUR L"
"","","","","","","","","","","5456","Aberdeen","1998-02-08T22:11:38Z","-113","M","Idaho","43","GASSO,DEE-ANNE "
"","","","","","","","","","","5457","Atomic City","1997-10-08T22:11:38Z","-113","F","Idaho","43","DOODOKYAN,BRANDEE V"
"","","","","","","","","","","5458","Basalt","1996-07-08T22:11:38Z","-112","M","Idaho","43","LINTZ,ELITHER J"
"","","","","","","","","","","5463","Shelley","1993-03-08T22:11:38Z","-112","F","Idaho","43","DEMANVELE,CAROL LOUISE "
"","","","","","","","","","","5464","Springfield","1993-08-08T22:11:38Z","-113","M","Idaho","43","DETZLER,CHEZ M"
"","","","","","","","","","","5465","Bellevue","1994-08-08T22:11:38Z","-114","F","Idaho","43","MENCHACA III,AMIR "
"","","","","","","","","","","5466","Carey","1998-06-08T22:11:38Z","-114","M","Idaho","43","MYINT,ROSALLE "
"","","","","","","","","","","5467","Hailey","1994-03-08T22:11:38Z","-114","F","Idaho","44","COTTIER,SREYPEU E"
"","","","","","","","","","","5470","Sun Valley","1995-08-08T22:11:38Z","-114","M","Idaho","44","TEETSEL,LOLA C"
"","","","","","","","","","","5471","Sun Valley","1998-09-08T22:11:38Z","-114","F","Idaho","44","AKABORI,HONGYU "
"","","","","","","","","","","5472","Banks","1998-11-08T22:11:38Z","-116","M","Idaho","44","RUELAS MARTINEZ,DIASHA "
"","","","","","","","","","","5473","Garden Valley","1996-06-08T22:11:38Z","-116","F","Idaho","44","VIDA,MEARA "
"","","","","","","","","","","5474","Horseshoe Bend","1999-01-08T22:11:38Z","-116","M","Idaho","44","HEGSETH,MARIA DEL R J"
"","","","","","","","","","","5476","Lowman","1993-08-08T22:11:38Z","-116","M","Idaho","44","NILSEN III,MARIATERES "
"","","","","","","","","","","5477","Meridian","1997-06-08T22:11:38Z","-116","F","Idaho","44","MIRAGLIA,LUISA M"
"","","","","","","","","","","5478","Placerville","1996-01-08T22:11:38Z","-116","M","Idaho","44","TOWNSEND III,EBONEE M"
"","","","","","","","","","","5479","Blanchard","1996-01-08T22:11:38Z","-117","F","Idaho","48","GRUNDSTROM,JOHN ANGELO "
"","","","","","","","","","","5482","Cocolalla","1998-11-08T22:11:38Z","-117","M","Idaho","48","MORGADO JR,VENN D"
"","","","","","","","","","","5483","Coolin","1997-12-08T22:11:38Z","-117","F","Idaho","49","KOWALSKY,SIREENA "
"","","","","","","","","","","5484","Oldtown","1998-04-08T22:11:38Z","-117","M","Idaho","48","BERRIOS,AMORCENA J"
"","","","","","","","","","","5485","Dover","1997-10-08T22:11:38Z","-117","F","Idaho","48","BORYSZEWSKI,KENIS "
"","","","","","","","","","","5487","Kootenai","1995-04-08T22:11:38Z","-117","F","Idaho","48","ANACLERIA,JOVEDIA "
"","","","","","","","","","","5488","Laclede","1997-06-08T22:11:38Z","-117","M","Idaho","48","FILIAU,MANLI "
"","","","","","","","","","","5489","Nordman","1992-12-08T22:11:38Z","-117","F","Idaho","49","CHAPPELLE,RHONDA "
"","","","","","","","","","","5490","Ponderay","1998-02-08T22:11:38Z","-117","M","Idaho","48","ARBULU,CALEIGH "
"","","","","","","","","","","5491","Priest River","1995-07-08T22:11:38Z","-117","F","Idaho","48","SAKABA,LONISHA E"
"","","","","","","","","","","5495","Idaho Falls","1993-12-08T22:11:38Z","-112","F","Idaho","44","YANCEY, CARLY,ROSLYN A"
"","","","","","","","","","","5496","Idaho Falls","1994-04-08T22:11:38Z","-112","M","Idaho","43","PONDS JR,AMYLANE Z"
"","","","","","","","","","","5498","Idaho Falls","1996-11-08T22:11:38Z","-112","M","Idaho","43","ELIZARREY,JOO "
"","","","","","","","","","","5499","Idaho Falls","1993-11-08T22:11:38Z","-112","F","Idaho","43","MASSEY JR,SHARYELL "
"","","","","","","","","","","5500","Idaho Falls","1994-05-08T22:11:38Z","-112","M","Idaho","43","PEEK,SINDYRA J"
"","","","","","","","","","","5501","Idaho Falls","1994-12-08T22:11:38Z","-112","F","Idaho","43","DETTER,DOMINGO E"
"","","","","","","","","","","5503","Irwin","1998-11-08T22:11:38Z","-111","F","Idaho","43","TROTTER,GUM "
"","","","","","","","","","","5505","Ucon","1994-05-08T22:11:38Z","-112","F","Idaho","44","UNUTOA,SAMANTHA-DO NOT USE W"
"","","","","","","","","","","5506","Bonners Ferry","1995-02-08T22:11:38Z","-116","M","Idaho","49","POULAS,MUSTARI D"
"","","","","","","","","","","5507","Eastport","1993-11-08T22:11:38Z","-116","F","Idaho","49","WEISSENBORN,ARINA "
"","","","","","","","","","","5508","Moyie Springs","1996-03-08T22:11:38Z","-116","M","Idaho","49","AFMAN,KOR P"
"","","","","","","","","","","5510","Porthill","1996-03-08T22:11:38Z","-116","M","Idaho","49","COUDEN,ZULLEYMA R"
"","","","","","","","","","","5511","Arco","1998-02-08T22:11:38Z","-113","F","Idaho","44","MC GRANAHAM,PHUONG BICH "
"","","","","","","","","","","5512","Howe","1996-10-08T22:11:38Z","-113","M","Idaho","44","ROGNLIEN,SOROOR "
"","","","","","","","","","","5513","Moore","1995-05-08T22:11:38Z","-113","F","Idaho","44","FLORIS,DEENA  K"
"","","","","","","","","","","5514","Corral","1998-05-08T22:11:38Z","-115","M","Idaho","44","SINCOCK,REIANNA W"
"","","","","","","","","","","5517","Caldwell","1997-05-08T22:11:38Z","-117","F","Idaho","44","ORTEGA IV,MORNINGSTAR A"
"","","","","","","","","","","5518","Caldwell","1999-08-08T22:11:38Z","-117","M","Idaho","44","USHIRODA,BIBIZAINAB "
"","","","","","","","","","","5520","Greenleaf","1994-01-08T22:11:38Z","-117","M","Idaho","44","ZOTOW,ORIS "
"","","","","","","","","","","5523","Middleton","1998-05-08T22:11:38Z","-117","F","Idaho","44","GARDUNIO,CHANDRIE "
"","","","","","","","","","","5525","Nampa","1994-10-08T22:11:38Z","-117","F","Idaho","44","ALAUX,STARLENA "
"","","","","","","","","","","5528","Parma","1996-05-08T22:11:38Z","-117","M","Idaho","44","RAMSEY, BRIAN,EMELY M"
"","","","","","","","","","","5529","Wilder","1999-09-08T22:11:38Z","-117","F","Idaho","44","PURGANAN,LARRA L"
"","","","","","","","","","","5530","Nampa","1994-12-08T22:11:38Z","-117","M","Idaho","44","ARAGO,NABAWEYAH "
"","","","","","","","","","","5531","Nampa","1993-02-08T22:11:38Z","-117","F","Idaho","44","SPRANDO,MARTINE W"
"","","","","","","","","","","5532","Bancroft","1995-02-08T22:11:38Z","-112","M","Idaho","43","HOENIG,MATIJA L"
"","","","","","","","","","","5533","Conda","1999-09-08T22:11:38Z","-112","F","Idaho","43","TSITRIN,SHITAL "
"","","","","","","","","","","5535","Soda Springs","1994-12-08T22:11:38Z","-112","F","Idaho","43","KITH,SYLVIA KATHERINE "
"","","","","","","","","","","5537","Albion","1995-07-08T22:11:38Z","-114","F","Idaho","42","PAYSNICK,HILREYRISE O"
