"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","13","state:Indiana","on","id,city,DOB,longitude,sex,state,latitude,name","30912","json","30912","0","990960","Berne","1949-12-08T22:11:38Z","-85","M","Indiana","41","LEFEBVRE,ADORRIE M"
"","","","","","","","","","","990961","Decatur","1948-12-08T22:11:38Z","-85","F","Indiana","41","GALIOTTO,BONNA E"
"","","","","","","","","","","990963","Linn Grove","1939-01-08T22:11:38Z","-85","F","Indiana","41","ASHTON,JYOTI R"
"","","","","","","","","","","990965","Pleasant Mills","1940-07-08T22:11:38Z","-85","F","Indiana","41","PUUDHUME,LOLLY L"
"","","","","","","","","","","990966","Preble","1955-01-08T22:11:38Z","-85","M","Indiana","41","EBBERT,MAREY A"
"","","","","","","","","","","990967","Arcola","1944-04-08T22:11:38Z","-85","F","Indiana","41","QUIGEL,DEBREON T"
"","","","","","","","","","","990968","Grabill","1955-07-08T22:11:38Z","-85","M","Indiana","41","SLEIGHTER,NYLLAJO "
"","","","","","","","","","","990969","Harlan","1948-08-08T22:11:38Z","-85","F","Indiana","41","MCCOLL,FANITA M"
"","","","","","","","","","","990971","Huntertown","1940-05-08T22:11:38Z","-85","F","Indiana","41","ORMANDO,HEESUN J"
"","","","","","","","","","","990974","New Haven","1939-10-08T22:11:38Z","-85","M","Indiana","41","RODRIGUEZ-CRUZ,DANARRYEH JOSEPH"
"","","","","","","","","","","990975","Woodburn","1948-09-08T22:11:38Z","-85","F","Indiana","41","DUMAS,DONNE "
"","","","","","","","","","","990978","Fort Wayne","1953-06-08T22:11:38Z","-85","M","Indiana","41","CASTROITA,SHONTELL M"
"","","","","","","","","","","990979","Fort Wayne","1942-02-08T22:11:38Z","-85","F","Indiana","41","MILLIRON,CHARDAI R"
"","","","","","","","","","","990980","Fort Wayne","1954-03-08T22:11:38Z","-85","M","Indiana","41","STREEPER,MICHELLE A"
"","","","","","","","","","","990981","Fort Wayne","1948-03-08T22:11:38Z","-85","F","Indiana","41","MIOTKE,LONAE J"
"","","","","","","","","","","990982","Fort Wayne","1944-03-08T22:11:38Z","-85","M","Indiana","41","JHAWAR,EULALIO "
"","","","","","","","","","","990984","Fort Wayne","1938-07-08T22:11:38Z","-85","M","Indiana","41","SCOTKA,KALEI R"
"","","","","","","","","","","990985","Fort Wayne","1955-03-08T22:11:38Z","-85","F","Indiana","41","OCHOA-MENDOZA,LAKEITHA "
