"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","12","state:Iowa","on","id,city,DOB,longitude,sex,state,latitude,name","28431","json","28431","0","4918","Adair","1999-09-08T22:11:38Z","-95","M","Iowa","42","ORMONDE,AGILA J"
"","","","","","","","","","","4919","Bridgewater","1997-06-08T22:11:38Z","-95","F","Iowa","41","SHARAR, KEVIN,DANCI L"
"","","","","","","","","","","4922","Orient","1999-04-08T22:11:38Z","-94","M","Iowa","41","LIDKE,ELIYA A"
"","","","","","","","","","","4924","Corning","1994-12-08T22:11:38Z","-95","M","Iowa","41","MACFARLANE,MARIA BERNADETTE J"
"","","","","","","","","","","4926","Prescott","1996-09-08T22:11:38Z","-95","M","Iowa","41","GORDIER, MELIS,CARLI E"
"","","","","","","","","","","4927","Dorchester","1998-05-08T22:11:38Z","-92","F","Iowa","43","HUTON,MIJA J"
"","","","","","","","","","","4928","Harpers Ferry","1996-07-08T22:11:38Z","-91","M","Iowa","43","KLUNIS,ELIYANA "
"","","","","","","","","","","4931","Postville","1998-08-08T22:11:38Z","-92","F","Iowa","43","MUZZINI,ROSELLIA "
"","","","","","","","","","","4932","Waterville","1993-04-08T22:11:38Z","-91","M","Iowa","43","HERE,YASINA "
"","","","","","","","","","","4933","Waukon","1998-03-08T22:11:38Z","-91","F","Iowa","43","DAUTRICK,M PHYLLIS L"
"","","","","","","","","","","4934","Centerville","1997-05-08T22:11:38Z","-93","M","Iowa","41","BARTOLUCCI,ANNISHA M"
"","","","","","","","","","","4935","Cincinnati","1995-09-08T22:11:38Z","-93","F","Iowa","41","HELLESTED,SANGSOM "
"","","","","","","","","","","4936","Exline","1998-09-08T22:11:38Z","-93","M","Iowa","41","DURRANT,ZENDY P"
"","","","","","","","","","","4937","Moravia","1993-08-08T22:11:38Z","-93","F","Iowa","41","ESCALONA,JAYDEEN "
"","","","","","","","","","","4940","Plano","1994-03-08T22:11:38Z","-93","M","Iowa","41","DAVERN,BETTINA L"
"","","","","","","","","","","4941","Udell","1994-12-08T22:11:38Z","-93","F","Iowa","41","OOSTERBAAN,CLIETHEL A"
"","","","","","","","","","","4944","Brayton","1994-09-08T22:11:38Z","-95","M","Iowa","42","ESKRIDGE,KHIA "
