"responseHeader__zkConnected","responseHeader__status","responseHeader__QTime","responseHeader__params__q","responseHeader__params__indent","responseHeader__params__fl","responseHeader__params__rows","responseHeader__params__wt","response__numFound","response__start","response__docs__id","response__docs__city","response__docs__DOB","response__docs__longitude","response__docs__sex","response__docs__state","response__docs__latitude","response__docs__name"
"True","0","14","state:Kentucky","on","id,city,DOB,longitude,sex,state,latitude,name","30144","json","30144","0","837628","Breeding","1961-02-08T22:11:38Z","-85","M","Kentucky","37","KLAUUS,GAVINA "
"","","","","","","","","","","837629","Cane Valley","1963-10-08T22:11:38Z","-85","F","Kentucky","37","AVILLA JR,LI LI M"
"","","","","","","","","","","837630","Columbia","1966-11-08T22:11:38Z","-85","M","Kentucky","37","FAROQI,D'JUAN N"
"","","","","","","","","","","837631","Glens Fork","1959-02-08T22:11:38Z","-85","F","Kentucky","37","ZAPPIEN,MARIE FRANCESCA "
"","","","","","","","","","","837632","Gradyville","1959-08-08T22:11:38Z","-85","M","Kentucky","37","KINMAN,MICKLO T"
"","","","","","","","","","","837633","Knifley","1959-04-08T22:11:38Z","-85","F","Kentucky","37","DUNCAN JR,ANN MICHELLE "
"","","","","","","","","","","837635","Holland","1960-04-08T22:11:38Z","-86","F","Kentucky","37","TORRES-BRAVO,RICHEL V"
"","","","","","","","","","","837638","Bandana","1958-03-08T22:11:38Z","-89","M","Kentucky","37","CONTRERAS, BRI,NURIE "
"","","","","","","","","","","837639","Barlow","1966-07-08T22:11:38Z","-89","F","Kentucky","37","ISOM, HEATHER,CAERY F"
"","","","","","","","","","","837641","Lovelaceville","1959-09-08T22:11:38Z","-89","F","Kentucky","37","SHIROISHI,MAAZA L"
"","","","","","","","","","","837642","Wickliffe","1961-01-08T22:11:38Z","-89","M","Kentucky","37","GAZIT,SAEMUA J"
"","","","","","","","","","","837643","Austin","1958-03-08T22:11:38Z","-86","F","Kentucky","37","FOROSS,JAYSHREE L"
"","","","","","","","","","","837645","Eighty Eight","1965-05-08T22:11:38Z","-86","F","Kentucky","37","AVALON,VIENDRA "
"","","","","","","","","","","837646","Etoile","1962-05-08T22:11:38Z","-86","M","Kentucky","37","FIKES,MICHAELLE A"
"","","","","","","","","","","837647","Glasgow","1965-12-08T22:11:38Z","-86","F","Kentucky","37","BOER,YOUNES G"
"","","","","","","","","","","837648","Glasgow","1961-02-08T22:11:38Z","-86","M","Kentucky","37","SALINAS,SHIRLEYE A"
"","","","","","","","","","","837651","Park City","1958-07-08T22:11:38Z","-86","F","Kentucky","37","VANZANDT,SLOAN L"
"","","","","","","","","","","837654","Preston","1960-05-08T22:11:38Z","-84","M","Kentucky","38","HOBILL,NIKOLETTE "
"","","","","","","","","","","837655","Salt Lick","1963-11-08T22:11:38Z","-84","F","Kentucky","38","SCHOMP,RONNYG C"
